Date,Transaction Description,Debit,Credit,Currency,CardName,Transaction,Location
12-01-2018,STIC TRAVELS PVT LTD,0.00,32256.00,INR,Rahul,Domestic,delhi
13-01-2018,FLIPKART INTERNET PRIVATE,21168.00,0.00,INR,Rahul,Domestic,bangalore
14-01-2018,FLEMINGO DUTY FREE,18796.99,0.00,INR,Rahul,Domestic,mumbai
14-01-2018,AIRTEL PAYMENT,1297.00,0.00,INR,Rahul,Domestic,mumbai
14-01-2018,AIRTEL PAYMENT,0.00,902.00,INR,Rahul,Domestic,chennai
22-01-2018,FLIPKART INTERNET PRIVATE,5000.00,0.00,INR,Rahul,Domestic,bangalore
17-01-2018,PAYTM,165.00,0.00,INR,Ritu,Domestic,noida
17-01-2018,BIKANERVALA,325.00,0.00,INR,Ritu,Domestic,gurgaon
19-01-2018,VFS GLOBAL SERVICES PVT,1200.00,0.00,INR,Ritu,Domestic,mumbai
21-01-2018,Amazon Seller Services,0.00,2155.00,INR,Ritu,Domestic,bangalore
13-01-2018,SRILANKANUPGRADE,6.00,0.00,EUR,Rahul,International,katunayake
14-01-2018,HEALTHGUARD LIMITED,0.00,5.00,USD,Rahul,International,katunayake
14-01-2018,FOOT RUB,20.00,0.00,EUR,Rahul,International,berlin
20-01-2018,California Games,100.00,0.00,USD,Rahul,International,california
30-01-2018,NewYorkShop,0.00,200.00,USD,Rahul,International,newyork
08-02-2018,EURO WINGS,5.00,0.00,EUR,Rahul,International,dusseldor
